user_input,reference_contexts,reference,persona_name,query_style,query_length,synthesizer_name
Who is John S. Jacobs in the context of Harriet Jacobs' autobiography?,"[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","John S. Jacobs is Harriet Jacobs' brother, whom she refers to as William in her autobiography, 'Incidents in the Life of a Slave Girl.'",ExamSetter,PERFECT_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Who is Benny in Harriet Jacobs' autobiography?,"[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","Benny is the name used in Harriet Jacobs' autobiography for her son, Joseph.",Pre University Student,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
"Who is John S. Jacobs in Harriet Jacobs' autobiography, and what is his relationship to her?","[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","John S. Jacobs is Harriet Jacobs' brother, whom she refers to as William in her autobiography, 'Incidents in the Life of a Slave Girl.'",Pre University Student,MISSPELLED,LONG,single_hop_specific_query_synthesizer
Who is Louisa Matilda in Harriet Jacobs' autobiography?,"[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","Louisa Matilda is Harriet Jacobs' daughter, who is referred to as Ellen in the autobiography 'Incidents in the Life of a Slave Girl.'",ExamSetter,MISSPELLED,SHORT,single_hop_specific_query_synthesizer
Who is John S. Jacobs in relation to Harriet Jacobs' autobiography?,"[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","John S. Jacobs is Harriet Jacobs' brother, whom she refers to as William in her autobiography, 'Incidents in the Life of a Slave Girl.'",ExamSetter,WEB_SEARCH_LIKE,MEDIUM,single_hop_specific_query_synthesizer
Who is Dr. Flint in Harriet Jacobs' autobiography?,"[""Harriet Jacobs,\nIncidents in the Life of a Slave Girl,\nWritten by Herself\n(1861)\nHarriet Jacobs wrote this autobiography under the pseudonym of Linda Brent, and she also used\npseudonyms for the others who appear in her story.  Historians have since uncovered the real names of\nall the people she discusses.  They include John S. Jacobs, her brother (whom she calls William in her\nautobiography); Dr. James Norcom, the father of her legal owner (Dr. Flint in the autobiography);\nJoseph, her son (Benny in the autobiography); Louisa Matilda, her daughter (Ellen in the\nautobiography); Samuel Tredwell Sawyer, her children's father (Mr. Sands in the autobiography); and\nCornelia Grinnell Willis, her employer in New York (Mrs. Bruce in the autobiography).\nN.B. Paragraph numbers provided are not part of the original document. Editorial explanations are in\nsquare brackets [ ].\nExcerpts from the original digitized document  at Documenting the South.\nPREFACE BY THE AUTHOR.\n{1} Reader, be assured this narrative is no fiction. I am aware that some of my adventures may\nseem incredible; but they are, nevertheless, strictly true. I have not exaggerated the wrongs\ninflicted by Slavery; on the contrary, my descriptions fall far short of the facts. I have concealed\nthe names of places, and given persons fictitious names. I had no motive for secrecy on my own\naccount, but I deemed it kind and considerate towards others to pursue this course.\n{2} I wish I were more competent to the task I have undertaken. But I trust my readers will excuse\ndeficiencies in consideration of circumstances. I was born and reared in Slavery; and I remained\nin a Slave State twenty-seven years. Since I have been at the North, it has been necessary for me\nto work diligently for my own support, and the education of my children. This has not left me\nmuch leisure to make up for the loss of early opportunities to improve myself; and it has\ncompelled me to write these pages at irregular intervals, whenever I could snatch an hour from\nhousehold duties.\n{3} When I first arrived in Philadelphia, Bishop Paine advised me to publish a sketch of my life,\nbut I told him I was altogether incompetent to such an undertaking. Though I have improved my\nmind somewhat since that time, I still remain of the same opinion; but I trust my motives will\nexcuse what might otherwise seem presumptuous. I have not written my experiences in order to\nattract attention to myself; on the contrary, it would have been more pleasant to me to have been\nsilent about my own history. Neither do I care to excite sympathy for my own sufferings. But I\ndo earnestly desire to arouse the women of the North to a realizing sense of the condition of two\nmillions of women at the South, still in bondage, suffering what I suffered, and most of them far\nworse. I want to add my testimony to that of abler pens to convince the people of the Free States\nwhat Slavery really is. Only by experience can any one realize how deep, and dark, and foul is\nthat pit of abominations. May the blessing of God rest on this imperfect effort in behalf of my\npersecuted people!""]","Dr. Flint is the pseudonym used by Dr. James Norcom, the father of Harriet Jacobs' legal owner in her autobiography, 'Incidents in the Life of a Slave Girl.'",Pre University Student,MISSPELLED,MEDIUM,single_hop_specific_query_synthesizer
Who is William in the story?,"['LINDA BRENT.\n***\nChapter One\n{4} I was born a slave; but I never knew it till six years of happy childhood had passed away. My\nfather was a carpenter, and considered so intelligent and skilful in his trade, that, when buildings\nout of the common line were to be erected, he was sent for from long distances, to be head\nworkman. On condition of paying his mistress two hundred dollars a year, and supporting\nhimself, he was allowed to work at his trade, and manage his own affairs. His strongest wish was\nto purchase his children; but, though he several times offered his hard earnings for that purpose,\nhe never succeeded. In complexion my parents were a light shade of brownish yellow, and were\ntermed mulattoes. They lived together in a comfortable home; and, though we were all slaves, I\nwas so fondly shielded that I never dreamed I was a piece of merchandise, trusted to them for\nsafe keeping, and liable to be demanded of them at any moment. I had one brother, William, who\nwas two years younger than myself—a bright, affectionate child. . . .\n[Harriet Jacobs\' life changed when she was about twelve years old; on the death of her owner,\nshe moved to a new household and became the property of her old owner\'s niece.]\nChapter Two\n{5} Dr. Flint, a physician in the neighborhood, had married the sister of my mistress, and I was\nnow the property of their little daughter. It was not without murmuring that I prepared for my\nnew home; and what added to my unhappiness, was the fact that my brother William was\npurchased by the same family. My father, by his nature, as well as by the habit of transacting\nbusiness as a skilful mechanic, had more of the feelings of a freeman than is common among\nslaves. My brother was a spirited boy; and being brought up under such influences, he early\ndetested the name of master and mistress. One day, when his father and his mistress both\nhappened to call him at the same time, he hesitated between the two; being perplexed to know\nwhich had the strongest claim upon his obedience. He finally concluded to go to his mistress.\nWhen my father reproved him for it, he said, ""You both called me, and I didn\'t know which I\nought to go to first.""\n{6} ""You are my child,"" replied our father, ""and when I call you, you should come immediately, if\nyou have to pass through fire and water.""\n{7} Poor Willie! He was now to learn his first lesson of obedience to a master.\n{8} . . . Mrs. Flint, like many southern women, was totally deficient in energy. She had not\nstrength to superintend her household affairs; but her nerves were so strong, that she could sit in\nher easy chair and see a woman whipped, till the blood trickled from every stroke of the lash.\nShe was a member of the church; but partaking of the Lord\'s supper did not seem to put her in a\nChristian frame of mind. If dinner was not served at the exact time on that particular Sunday, she\nwould station herself in the kitchen, and wait till it was dished, and then spit in all the kettles and\npans that had been used for cooking. She did this to prevent the cook and her children from\neking out their meagre fare with the remains of the gravy and other scrapings. The slaves could\nget nothing to eat except what she chose to give them. Provisions were weighed out by the pound\nand ounce, three times a day. I can assure you she gave them no chance to eat wheat bread from\nher flour barrel. She knew how many biscuits a quart of flour would make, and exactly what size\nthey ought to be. . . .\nChapter Five\n{9} I now entered on my fifteenth year—a sad epoch in the life of a slave girl. My master began\nto whisper foul words in my ear. Young as I was, I could not remain ignorant of their import. I']","William is the narrator's brother, who is two years younger than her. He is described as a bright, affectionate child and was purchased by the same family that took the narrator after her owner died.",Pre University Student,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
Who is Harriet Jacobs?,"['LINDA BRENT.\n***\nChapter One\n{4} I was born a slave; but I never knew it till six years of happy childhood had passed away. My\nfather was a carpenter, and considered so intelligent and skilful in his trade, that, when buildings\nout of the common line were to be erected, he was sent for from long distances, to be head\nworkman. On condition of paying his mistress two hundred dollars a year, and supporting\nhimself, he was allowed to work at his trade, and manage his own affairs. His strongest wish was\nto purchase his children; but, though he several times offered his hard earnings for that purpose,\nhe never succeeded. In complexion my parents were a light shade of brownish yellow, and were\ntermed mulattoes. They lived together in a comfortable home; and, though we were all slaves, I\nwas so fondly shielded that I never dreamed I was a piece of merchandise, trusted to them for\nsafe keeping, and liable to be demanded of them at any moment. I had one brother, William, who\nwas two years younger than myself—a bright, affectionate child. . . .\n[Harriet Jacobs\' life changed when she was about twelve years old; on the death of her owner,\nshe moved to a new household and became the property of her old owner\'s niece.]\nChapter Two\n{5} Dr. Flint, a physician in the neighborhood, had married the sister of my mistress, and I was\nnow the property of their little daughter. It was not without murmuring that I prepared for my\nnew home; and what added to my unhappiness, was the fact that my brother William was\npurchased by the same family. My father, by his nature, as well as by the habit of transacting\nbusiness as a skilful mechanic, had more of the feelings of a freeman than is common among\nslaves. My brother was a spirited boy; and being brought up under such influences, he early\ndetested the name of master and mistress. One day, when his father and his mistress both\nhappened to call him at the same time, he hesitated between the two; being perplexed to know\nwhich had the strongest claim upon his obedience. He finally concluded to go to his mistress.\nWhen my father reproved him for it, he said, ""You both called me, and I didn\'t know which I\nought to go to first.""\n{6} ""You are my child,"" replied our father, ""and when I call you, you should come immediately, if\nyou have to pass through fire and water.""\n{7} Poor Willie! He was now to learn his first lesson of obedience to a master.\n{8} . . . Mrs. Flint, like many southern women, was totally deficient in energy. She had not\nstrength to superintend her household affairs; but her nerves were so strong, that she could sit in\nher easy chair and see a woman whipped, till the blood trickled from every stroke of the lash.\nShe was a member of the church; but partaking of the Lord\'s supper did not seem to put her in a\nChristian frame of mind. If dinner was not served at the exact time on that particular Sunday, she\nwould station herself in the kitchen, and wait till it was dished, and then spit in all the kettles and\npans that had been used for cooking. She did this to prevent the cook and her children from\neking out their meagre fare with the remains of the gravy and other scrapings. The slaves could\nget nothing to eat except what she chose to give them. Provisions were weighed out by the pound\nand ounce, three times a day. I can assure you she gave them no chance to eat wheat bread from\nher flour barrel. She knew how many biscuits a quart of flour would make, and exactly what size\nthey ought to be. . . .\nChapter Five\n{9} I now entered on my fifteenth year—a sad epoch in the life of a slave girl. My master began\nto whisper foul words in my ear. Young as I was, I could not remain ignorant of their import. I']","Harriet Jacobs was born a slave and lived a life marked by the struggles of slavery. She was the daughter of a skilled carpenter and experienced a childhood of relative happiness until she became the property of her old owner's niece at the age of twelve. Her life changed significantly as she faced the harsh realities of slavery, including the inappropriate advances of her master.",Undergraduate History Student,POOR_GRAMMAR,SHORT,single_hop_specific_query_synthesizer
What role does Dr. Flint play in Linda Brent's life as described in the context?,"['LINDA BRENT.\n***\nChapter One\n{4} I was born a slave; but I never knew it till six years of happy childhood had passed away. My\nfather was a carpenter, and considered so intelligent and skilful in his trade, that, when buildings\nout of the common line were to be erected, he was sent for from long distances, to be head\nworkman. On condition of paying his mistress two hundred dollars a year, and supporting\nhimself, he was allowed to work at his trade, and manage his own affairs. His strongest wish was\nto purchase his children; but, though he several times offered his hard earnings for that purpose,\nhe never succeeded. In complexion my parents were a light shade of brownish yellow, and were\ntermed mulattoes. They lived together in a comfortable home; and, though we were all slaves, I\nwas so fondly shielded that I never dreamed I was a piece of merchandise, trusted to them for\nsafe keeping, and liable to be demanded of them at any moment. I had one brother, William, who\nwas two years younger than myself—a bright, affectionate child. . . .\n[Harriet Jacobs\' life changed when she was about twelve years old; on the death of her owner,\nshe moved to a new household and became the property of her old owner\'s niece.]\nChapter Two\n{5} Dr. Flint, a physician in the neighborhood, had married the sister of my mistress, and I was\nnow the property of their little daughter. It was not without murmuring that I prepared for my\nnew home; and what added to my unhappiness, was the fact that my brother William was\npurchased by the same family. My father, by his nature, as well as by the habit of transacting\nbusiness as a skilful mechanic, had more of the feelings of a freeman than is common among\nslaves. My brother was a spirited boy; and being brought up under such influences, he early\ndetested the name of master and mistress. One day, when his father and his mistress both\nhappened to call him at the same time, he hesitated between the two; being perplexed to know\nwhich had the strongest claim upon his obedience. He finally concluded to go to his mistress.\nWhen my father reproved him for it, he said, ""You both called me, and I didn\'t know which I\nought to go to first.""\n{6} ""You are my child,"" replied our father, ""and when I call you, you should come immediately, if\nyou have to pass through fire and water.""\n{7} Poor Willie! He was now to learn his first lesson of obedience to a master.\n{8} . . . Mrs. Flint, like many southern women, was totally deficient in energy. She had not\nstrength to superintend her household affairs; but her nerves were so strong, that she could sit in\nher easy chair and see a woman whipped, till the blood trickled from every stroke of the lash.\nShe was a member of the church; but partaking of the Lord\'s supper did not seem to put her in a\nChristian frame of mind. If dinner was not served at the exact time on that particular Sunday, she\nwould station herself in the kitchen, and wait till it was dished, and then spit in all the kettles and\npans that had been used for cooking. She did this to prevent the cook and her children from\neking out their meagre fare with the remains of the gravy and other scrapings. The slaves could\nget nothing to eat except what she chose to give them. Provisions were weighed out by the pound\nand ounce, three times a day. I can assure you she gave them no chance to eat wheat bread from\nher flour barrel. She knew how many biscuits a quart of flour would make, and exactly what size\nthey ought to be. . . .\nChapter Five\n{9} I now entered on my fifteenth year—a sad epoch in the life of a slave girl. My master began\nto whisper foul words in my ear. Young as I was, I could not remain ignorant of their import. I']","Dr. Flint is a physician in the neighborhood who becomes significant in Linda Brent's life when she is transferred to the household of his family. He is married to the sister of Linda's mistress, and she becomes the property of their little daughter. His presence adds to Linda's unhappiness as she adjusts to her new home.",ExamSetter,POOR_GRAMMAR,MEDIUM,single_hop_specific_query_synthesizer
"What were the early life experiences of Linda Brent as described in the text, particularly regarding her family and the conditions of slavery?","['LINDA BRENT.\n***\nChapter One\n{4} I was born a slave; but I never knew it till six years of happy childhood had passed away. My\nfather was a carpenter, and considered so intelligent and skilful in his trade, that, when buildings\nout of the common line were to be erected, he was sent for from long distances, to be head\nworkman. On condition of paying his mistress two hundred dollars a year, and supporting\nhimself, he was allowed to work at his trade, and manage his own affairs. His strongest wish was\nto purchase his children; but, though he several times offered his hard earnings for that purpose,\nhe never succeeded. In complexion my parents were a light shade of brownish yellow, and were\ntermed mulattoes. They lived together in a comfortable home; and, though we were all slaves, I\nwas so fondly shielded that I never dreamed I was a piece of merchandise, trusted to them for\nsafe keeping, and liable to be demanded of them at any moment. I had one brother, William, who\nwas two years younger than myself—a bright, affectionate child. . . .\n[Harriet Jacobs\' life changed when she was about twelve years old; on the death of her owner,\nshe moved to a new household and became the property of her old owner\'s niece.]\nChapter Two\n{5} Dr. Flint, a physician in the neighborhood, had married the sister of my mistress, and I was\nnow the property of their little daughter. It was not without murmuring that I prepared for my\nnew home; and what added to my unhappiness, was the fact that my brother William was\npurchased by the same family. My father, by his nature, as well as by the habit of transacting\nbusiness as a skilful mechanic, had more of the feelings of a freeman than is common among\nslaves. My brother was a spirited boy; and being brought up under such influences, he early\ndetested the name of master and mistress. One day, when his father and his mistress both\nhappened to call him at the same time, he hesitated between the two; being perplexed to know\nwhich had the strongest claim upon his obedience. He finally concluded to go to his mistress.\nWhen my father reproved him for it, he said, ""You both called me, and I didn\'t know which I\nought to go to first.""\n{6} ""You are my child,"" replied our father, ""and when I call you, you should come immediately, if\nyou have to pass through fire and water.""\n{7} Poor Willie! He was now to learn his first lesson of obedience to a master.\n{8} . . . Mrs. Flint, like many southern women, was totally deficient in energy. She had not\nstrength to superintend her household affairs; but her nerves were so strong, that she could sit in\nher easy chair and see a woman whipped, till the blood trickled from every stroke of the lash.\nShe was a member of the church; but partaking of the Lord\'s supper did not seem to put her in a\nChristian frame of mind. If dinner was not served at the exact time on that particular Sunday, she\nwould station herself in the kitchen, and wait till it was dished, and then spit in all the kettles and\npans that had been used for cooking. She did this to prevent the cook and her children from\neking out their meagre fare with the remains of the gravy and other scrapings. The slaves could\nget nothing to eat except what she chose to give them. Provisions were weighed out by the pound\nand ounce, three times a day. I can assure you she gave them no chance to eat wheat bread from\nher flour barrel. She knew how many biscuits a quart of flour would make, and exactly what size\nthey ought to be. . . .\nChapter Five\n{9} I now entered on my fifteenth year—a sad epoch in the life of a slave girl. My master began\nto whisper foul words in my ear. Young as I was, I could not remain ignorant of their import. I']","Linda Brent, born a slave, enjoyed six years of a happy childhood before realizing her status. Her father, a skilled carpenter, was allowed to work and manage his affairs under the condition of paying his mistress. He wished to purchase his children but was unsuccessful. Linda's parents were mulattoes and lived comfortably, shielding her from the harsh realities of slavery. She had a younger brother, William, who was bright and affectionate. However, her life changed when she was sold to her old owner's niece, and her brother was purchased by the same family, marking the beginning of her struggles under slavery.",Pre University Student,WEB_SEARCH_LIKE,LONG,single_hop_specific_query_synthesizer
